Year,Date,Description,FullDate,Country
2022,15-Jan,"The Hunga Tonga–Hunga Haʻapai eruption and tsunami is the largest and most powerful volcanic eruption in decades, and the largest explosion ever recorded by modern instruments.",1/15/22 0:00,Tonga
2022,February 4 – 20,"The 2022 Winter Olympics are held in Beijing, China, making it the first city ever to host both the Summer Olympics and Winter Olympics.[7]",,China
2022,24-Feb,"Russia invades Ukraine, escalating the Russo-Ukrainian War, causing a refugee crisis and tens of thousands of deaths on both sides.",2/24/22 0:00,"Russia,EUR"
2022,20-Mar,"WHL0137-LS ""Earendel"" imaged by Hubble Space Telescope, the earliest and most distant known star.",3/20/22 0:00,International
2022,March 15 – November 14,Sri Lankan protests.,,Sri Lanka
2022,April – November,Pakistani constitutional crisis and attempted assassination of Imran Khan.,,Pakistan
2022,14-Apr,Elon Musk purchases Twitter.,4/14/22 0:00,U.S.
2022,19-Apr,"Kane Tanaka, the second oldest verified person to have ever lived, dies at the age of 119.",4/19/22 0:00,Japan
2022,6-May,Monkeypox outbreak.,5/6/22 0:00,International
2022,12-May,"Sagittarius A*, supermassive black hole at Galactic Center, imaged by Event Horizon Telescope.",5/12/22 0:00,International
2022,June 12 – September 12,Heat waves in Europe kill tens of thousands.,,EUR
2022,22-Jun,Earthquake in Afghanistan.,6/22/22 0:00,Afghanistan
2022,30-Jun,Ketanji Brown Jackson becomes the first black woman on the Supreme Court.,6/30/22 0:00,U.S.
2022,July – October,United Kingdom government crises,,U.K.
2022,July,Oder environmental disaster.,7/1/22 0:00,"Poland,EUR"
2022,8-Jul,Assassination of Shinzo Abe.,7/8/22 0:00,Chile
2022,11-Jul,"James Webb Space Telescope takes Webb's First Deep Field, oldest and highest resolution image of the universe to date.",7/11/22 0:00,U.S.
2022,22-Jul,Chinese paddlefish declared extinct.,7/22/22 0:00,China
2022,4-Aug,China conducts its largest ever military exercise around Taiwan in response to a controversial visit by Nancy Pelosi.,8/4/22 0:00,"China,Taiwan"
2022,24-Aug,"""Man of the Hole"", reclusive indigenous Brazilian and last of his ethnicity, dies.",8/24/22 0:00,Brazil
2022,28-Aug,Floods in Pakistan trigger an economic crisis.,8/28/22 0:00,Pakistan
2022,31-Aug,UN Human Rights Office report on Xinjiang is released.,8/31/22 0:00,
2022,8-Sep,"Elizabeth II dies at the age of 96, and is succeeded by Charles III.",9/8/22 0:00,
2022,16-Sep,Mahsa Amini protests.,9/16/22 0:00,
2022,25-Sep,Eliud Kipchoge sets marathon world record at the 2022 Berlin Marathon.,9/25/22 0:00,
2022,26-Sep,Double Asteroid Redirection Test demonstrates capabilities on asteroid (65803) Didymos I Dimorphos.,9/26/22 0:00,
2022,September 27 – 30,"Hurricane Ian impacts Cuba and the US, causing catastrophic damage to both nations, killing at least 157 people, 16 missing, and leaving millions without power, including the entirety of Cuba.",,
2022,1-Oct,"A fatal human crush occurs during an association football match at Kanjuruhan Stadium in Malang Regency, East Java, Indonesia, killing 131 people and injuring more than 500.",10/1/22 0:00,
2022,6-Oct,"36 people are killed in a shooting, stabbing, and vehicle-ramming at Nong Bua Lamphu, Thailand.",10/6/22 0:00,
2022,2-Nov,Ethiopia–Tigray peace agreement.,11/2/22 0:00,
2022,11-Nov,The FTX cryptocurrency exchange files for Chapter 11 bankruptcy.,11/11/22 0:00,
2022,15-Nov,The world population is estimated to have reached 8 billion.,11/15/22 0:00,
2022,16-Nov,"NASA launches Artemis 1, the first uncrewed mission of its Space Launch System, the most powerful rocket ever to reach orbit.",11/16/22 0:00,
2022,26-Nov,COVID-19 protests in China.,11/26/22 0:00,
2022,30-Nov,"OpenAI launches ChatGPT, an AI chatbot.",11/30/22 0:00,
2022,7-Dec,"Self-coup attempt, impeachment and arrest of President Pedro Castillo sparks protests in Peru.",12/7/22 0:00,
2022,9-Dec,Qatar corruption scandal at the European Parliament.,12/9/22 0:00,
2023,January – October,2023 Israeli judicial reform protests.,,
2023,8-Jan,2023 Brazilian Congress attack.,1/8/23 0:00,
2023,19-Jan,2023 French pension reform strikes.,1/19/23 0:00,
2023,6-Feb,"2023 Turkey-Syria earthquakes kill nearly 60,000 people.",2/6/23 0:00,
2023,21-Feb,"Cyclone Freddy kills 1,400 in Malawi and Mozambique.",2/21/23 0:00,
2023,10-Mar,Iran and Saudi Arabia restore diplomatic relations.,3/10/23 0:00,
2023,4-Apr,Finland joins NATO.,4/4/23 0:00,
2023,13-Apr,R21/Matrix-M malaria vaccine approved for use.,4/13/23 0:00,
